Latitudine,Longitudine,Tipologia,Nome
40.4399851,-3.64291769999999,Università,Academia Kumon
40.453133,-3.68442379999999,Università,Centro Universitario de Ciencias de la Salud San Rafael Nebrija
40.3864236,-3.74965789999999,Università,Centro Universitario de la Defensa
40.4959921,-3.70197999999999,Università,Centro de Enseñanza Superior Villanueva
40.4295547999999,-3.71339839999999,Università,Centro de Estudios Hispánicos
40.4801446,-3.36471149999999,Università,Colegio menor San José de Caracciolos
40.4413136,-3.70127259999999,Università,ESDIP - Escuela de Arte
40.4587817,-3.6753648,Università,ESERP Madrid Business School
40.4244705999999,-3.70730199999999,Università,Escuela Superior de Canto de Madrid
40.4483858999999,-3.7258612,Università,Facultad de Biológicas
40.5454203,-3.6951618,Università,Facultad de Ciencias
40.5449246,-3.69660589999999,Università,Facultad de Ciencias Económicas y Empresariales
40.450462,-3.71777809999999,Università,Facultad de Educación
40.4433087999999,-3.72472359999999,Università,"Facultad de Enfermería, Fisioterapia y Podología"
40.5442248,-3.6985621,Università,Facultad de Filosofía y Letras
40.4482367999999,-3.72382919999999,Università,Facultad de Forestales
40.4487968999999,-3.7379546,Università,Facultad de Veterinaria
40.4308971999999,-3.7908094,Università,Facultades De Políticas Y Sociología
40.4777127999999,-3.68943999999999,Università,IE University
40.428739,-3.71430829999999,Università,Instituto Universitario General Gutiérrez Mellado (UNED)
40.4186726,-3.69068759999999,Università,Instituto de Estudios Bursátiles
40.4487080999999,-3.7280915,Università,La Universidad Complutense a Alfonso XII
40.3229593,-3.7273094,Università,Las Margaritas Universidad
40.545354,-3.69325679999999,Università,Malebolge
40.4352006,-3.7005742,Università,Mississippi
40.5887225,-4.15037629999999,Università,Real Centro Universitario Escorial - María Cristina (UCM)
40.4486156999999,-3.719125,Università,Rectorado de la Universidad Politécnica de Madrid
40.4398598,-3.7362438,Università,Residencia INEF
40.6006142999999,-3.94952479999999,Università,Universidad Antonio de Nebrija - Campus de La Berzosa
40.5891469,-4.15125679999999,Università,Universidad María Cristina
40.4291055999999,-3.71368859999999,Università,Universidad Nebrija - Campus de Madrid-Princesa
40.5540615999999,-3.68349299999999,Università,Universidad Pontificia de Comillas
40.5542238,-3.63274359999999,Università,Universidad Popular Ss De Los Reyes-Cea
40.4271892,-3.71864069999999,Università,Universidad Rey Juan Carlos
40.4795749,-3.36060369999999,Università,universidad de Alcalá
40.480352,-3.7068876,Supermarket,Alcampo
40.4851314,-3.6849356,Supermarket,Mercadona
40.4853707,-3.6902063,Supermarket,Dia
40.4471184,-3.7119678,Supermarket,Dia
40.4873888,-3.6898562,Supermarket,Frutería
40.4864013,-3.6887967,Supermarket,M-KOR
40.4865081,-3.6893842,Supermarket,"Supermercado ""GAMA"""
40.4869532,-3.6903694,Supermarket,Frutos secos
40.4110206,-3.6947372,Supermarket,Chinos
40.4129105,-3.6953446,Supermarket,Dia
40.4036812,-3.7012155,Supermarket,La Sirena
40.4028283,-3.696878,Supermarket,Mercadona
40.4343031,-3.8062873,Supermarket,La Plaza de DIA
40.4337478,-3.805326,Supermarket,Molinaseca
40.4563958,-3.6178172,Supermarket,Hipercor
40.4447687,-3.6341303,Supermarket,La Plaza de DIA
40.433958,-3.798295,Supermarket,Supersol
40.4512825,-3.7849937,Supermarket,Molinaseca
40.4769606,-3.8531132,Supermarket,Supersol
40.5044401,-3.6768216,Supermarket,Dia
40.3863802,-3.7643136,Supermarket,Carrefour
40.4403051,-3.8996511,Supermarket,Supermercado Las Lomas
40.413668,-3.8981409,Supermarket,La Plaza de DIA
40.3998038,-3.8973887,Supermarket,Dia
40.5065419,-3.6758292,Supermarket,Ahorramás
40.5476819,-3.6531771,Supermarket,Hiper Usera
40.3158644,-3.7356711,Supermarket,Mercadona
40.3161279,-3.735438,Supermarket,ALDI
40.6021936,-3.7145294,Supermarket,Supercor
40.4037012,-3.7078934,Supermarket,Ahorramás
40.3991563,-3.7081825,Supermarket,Dia
40.3948613,-3.6958532,Supermarket,Prima Prix
40.4519859,-3.8685624,Supermarket,Carrefour
40.4561572,-3.8672767,Supermarket,Aldi
40.4432086,-3.6528964,Supermarket,Supersol
40.4605988,-3.8660486,Supermarket,Dia
40.3316298,-3.8560718,Supermarket,Mercadona
40.4409269,-3.6427108,Supermarket,Ahorramás
40.433327,-3.6751848,Supermarket,Dia
40.4403489,-3.662539,Supermarket,Dia
40.5086873,-3.6451412,Supermarket,Caprabo
40.5041349,-3.7032844,Supermarket,Alcampo
40.4547104,-3.6718806,Supermarket,La Plaza de DIA
40.4432275,-3.7139966,Supermarket,Supersol
40.4558202,-3.7003498,Supermarket,Mercadona
40.5078343,-3.6712871,Supermarket,Ahorramás
40.4811317,-3.6665575,Supermarket,La Sirena
40.3517528,-3.7065794,Supermarket,Hiper Usera
40.4715931,-3.5793975,Supermarket,Dia
40.4492643,-3.4698921,Supermarket,Mercadona
40.3998299,-3.8968652,Supermarket,Mercadona
40.4488228,-3.6763271,Supermarket,Condis
40.4584621,-3.4572061,Supermarket,Mercadona
40.3166791,-3.8728702,Supermarket,Eroski
40.53452,-3.6370272,Supermarket,Alcampo
40.3282644,-3.7616662,Supermarket,Ahorramás
40.3310418,-3.7700778,Supermarket,Simply Market
40.4241504,-3.7249779,Supermarket,El Vergel
40.4125936,-3.7045819,Supermarket,Lidl
40.4083576,-3.7010047,Supermarket,Carrefour Market
40.4254413,-3.714542,Supermarket,Dia
40.4204325,-3.6980433,Supermarket,Dia
40.3366023,-3.7686687,Supermarket,La Plaza de DIA
40.4094437,-3.8801027,Supermarket,Ahorra Más
40.4771203,-3.6438478,Supermarket,Supermercado Barreiros
40.3857014,-3.7387056,Supermarket,Hipercor
40.3490874,-3.8089186,Supermarket,Simply Market
40.4460399,-3.6709741,Supermarket,La Sirena
40.444864,-3.6685948,Supermarket,Supercor
40.4452667,-3.6676319,Supermarket,Ahorramás
40.4462628,-3.664764,Supermarket,Unide
40.4458832,-3.6664377,Supermarket,Sánchez Romero
40.4046746,-3.6083368,Supermarket,Ahorramás
40.4042089,-3.6055366,Supermarket,Ahorramás
40.33175,-3.8856943,Supermarket,Lidl
40.403152,-3.6930239,Supermarket,Lidl
40.5109016,-3.6897557,Supermarket,Alcampo
40.4718405,-3.7080787,Supermarket,Mercadona
