Latitudine,Longitudine,Tipologia,Nome
48.9467867,2.3616106,Università,French Institute De Géopolitique
48.8438948,2.3207191,Università,AgroParisTech
48.9060404,2.3862655,Università,Archives de l'École des Hautes Études en Science Sociales
48.7955595,1.9825949,Università,Bâtiment Descartes de 3iS
48.79384,1.9791538,Università,Bâtiment Pascal de 3iS
48.7968452,1.9843194,Università,Bâtiment d'Alembert de 3iS
48.8496878,2.3862813,Università,CFJ Paris - Université Panthéon-Assas
49.0429924,2.0845673,Università,CY Cergy Paris Université - Site de Saint Martin
48.4062203,2.683427,Università,Centre Européen d'Education Permanente
48.8451702,2.3458299,Università,Collège de France - Site Ulm
48.8606515,2.3148342,Università,Constantine - Université
48.7085779,2.172167,Università,Département de Physique Paris-Saclay
48.7881225,2.3823562,Università,Efrei Paris - Annexe Monod - Université Paris-Panthéon-Assas
48.7899274,2.3685979,Università,Efrei Paris - Campus Gorki - Université Paris-Panthéon-Assas
48.8598634,2.2821089,Università,Efrei Paris - Site La Tour - Université Panthéon-Assas
48.8504284,2.3408012,Università,Faculté de Médecine Paris Centre - Université de Paris
48.5284366,2.6544161,Università,Faculté de santé
48.724484,2.2695243,Università,Faculté des Métiers
49.0145428,2.0789424,Università,Gare de Neuville-Université
48.8327043,2.5808271,Università,Gobelins l'école de l'image site Noisy
48.7934033,1.9828607,Università,Greta Versailles
48.7999096,2.1610203,Università,HEDAC
48.8348282,2.4663574,Università,IEDES
48.6550413,2.313893,Università,IFSI Perray-Vaucluse - Faculté de médecine Paris-Saclay
49.0319679,2.0780744,Università,INSPE Cergy
48.8139579,2.3937999,Università,IPSA
48.7847936,2.4567411,Università,"IUFM - 2e degré, formation continue"
48.7966272,2.446193,Università,IUFM - Second Degré
48.620358,2.3075877,Università,IUT Brétigny-sur-orge Université Evry Val d'Essonne
48.6181831,2.3066957,Università,IUT d'Evry Val d'Essonne
48.7066145,2.1770963,Università,Institut Pascal de l'université Paris-Saclay
49.0316282,2.0758202,Università,Institut Polytechnique Saint-Louis
48.8556294,2.3309525,Università,Institut d'Études Politiques - Sciences Po PSIA
48.85526,2.3271921,Università,Institut d'Études Politiques - Sciences Po École de Doctorat
48.8637366,2.3514122,Università,Institut du Management de l'Information - UTC
48.8504638,2.3418472,Università,Institut du Monde Anglophone - Université Sorbonne Nouvelle (Paris 3)
48.854726,2.7751921,Università,Institut francilien d'ingénierie des services
48.8351257,2.3434547,Università,LISAA Design graphique
48.8407241,2.3469772,Università,LISAA Mode
48.849412,2.3445383,Università,Laboratoire de Psychologie LaPsyDÉ - Université de Paris
48.8287168,2.2673013,Università,Les Arcades
48.8444084,2.3460193,Università,Maison de la Recherche de l'Université Sorbonne Nouvelle
48.8525504,2.3377722,Università,Master of Public Affairs
48.8281986,2.3557498,Università,Neoma Business School
48.8351438,2.292318,Università,Paris II - Panthéon Assas - Centre Vaugirard
48.9458932,2.3668152,Università,Pharmacie de l'Université
48.8460312,2.3413867,Università,Pharmacie des Facultés
48.7090087,2.171111,Università,Polytech Paris-Saclay
48.9013185,2.224631,Università,SNCF Université du service
48.8993183,2.2145435,Università,Salle de quartier Université
48.8511944,2.3403301,Università,Siège de Sorbonne Université
48.8518367,2.3402141,Università,Siège de l'Université de Paris
48.8482562,2.3428464,Università,Sorbonne Université - Faculté des Lettres
48.8415146,2.2899921,Università,"Toulouse Business School, Paris campus"
48.82727,2.3811881,Università,UFR Informatique (Université de Paris)
48.82718,2.3809397,Università,UFR Mathématiques (Université de Paris)
48.8284603,2.3825788,Università,UFR Physique (Université de Paris)
48.8338475,2.2912408,Università,UFR STAPS Paris Descartes
48.7857856,2.0511246,Università,UVSQ - Faculté de droit
